SequenceID	Realm (-viria)	Realm_score	Subrealm (-vira)	Subrealm_score	Kingdom (-virae)	Kingdom_score	Subkingdom (-virites)	Subkingdom_score	Phylum (-viricota)	Phylum_score	Subphylum (-viricotina)	Subphylum_score	Class (-viricetes)	Class_score	Subclass (-viricetidae)	Subclass_score	Order (-virales)	Order_score	Suborder (-virineae)	Suborder_score	Family (-viridae)	Family_score	Subfamily (-virinae)	Subfamily_score	Genus (-virus)	Genus_score	Subgenus (-virus)	Subgenus_score	Species (binomial)	Species_score
ICTVTaxoChallenge_100	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cossaviricota	0.999999	N/A	N/A	Papovaviricetes	0.999999	N/A	N/A	Zurhausenvirales	0.999999	N/A	N/A	Papillomaviridae	0.999999	Firstpapillomavirinae	0.999999	Dyorhopapillomavirus	0.999999	N/A	N/A	Dyorhopapillomavirus 1	0.999999
ICTVTaxoChallenge_100003	Duplodnaviria	0.5	N/A	N/A	Heunggongvirae	0.5	N/A	N/A	Uroviricota	0.5	N/A	N/A	Caudoviricetes	0.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100057	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Polyploviricotina	0.999999	Bunyaviricetes	0.999999	N/A	N/A	Elliovirales	0.999999	N/A	N/A	Peribunyaviridae	0.999999	N/A	N/A	Orthobunyavirus	0.999999	N/A	N/A	Orthobunyavirus catuense	0.999999
ICTVTaxoChallenge_100084	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cressdnaviricota	0.999999	N/A	N/A	Repensiviricetes	0.999999	N/A	N/A	Geplafuvirales	0.999999	N/A	N/A	Geminiviridae	0.999999	N/A	N/A	Begomovirus	0.999999	N/A	N/A	Begomovirus bemisiaprimi	0.999999
ICTVTaxoChallenge_100097	Duplodnaviria	0.674	N/A	N/A	Heunggongvirae	0.674	N/A	N/A	Uroviricota	0.674	N/A	N/A	Caudoviricetes	0.674	N/A	N/A	N/A	N/A	N/A	N/A	Herelleviridae	0.674	Bastillevirinae	0.674	Agatevirus	0.674	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100129	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Hnatkovirus	0.999999	N/A	N/A	Hnatkovirus DS6A	0.999999
ICTVTaxoChallenge_10014	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Duplornaviricota	0.999999	N/A	N/A	Resentoviricetes	0.999999	N/A	N/A	Reovirales	0.999999	N/A	N/A	Spinareoviridae	0.999999	N/A	N/A	Aquareovirus	0.999999	N/A	N/A	Aquareovirus graminis	0.999999
ICTVTaxoChallenge_100161	Riboviria	0.499	N/A	N/A	Orthornavirae	0.499	N/A	N/A	Negarnaviricota	0.499	Polyploviricotina	0.499	Bunyaviricetes	0.499	N/A	N/A	Elliovirales	0.499	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100171	Duplodnaviria	0.563	N/A	N/A	Heunggongvirae	0.563	N/A	N/A	Uroviricota	0.563	N/A	N/A	Caudoviricetes	0.563	N/A	N/A	N/A	N/A	N/A	N/A	Schitoviridae	0.563	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100190	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	Autographiviridae	0.999999	N/A	N/A	Ashivirus	0.999999	N/A	N/A	Ashivirus S45C4	0.999999
ICTVTaxoChallenge_100213	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_10023	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Duplornaviricota	0.999999	N/A	N/A	Chrymotiviricetes	0.999999	N/A	N/A	Ghabrivirales	0.999999	Alphatotivirineae	0.999999	Chrysoviridae	0.999999	N/A	N/A	Alphachrysovirus	0.999999	N/A	N/A	Alphachrysovirus shuangaoense	0.999999
ICTVTaxoChallenge_100237	Varidnaviria	0.999999	N/A	N/A	Bamfordvirae	0.999999	N/A	N/A	Preplasmiviricota	0.999999	N/A	N/A	Tectiliviricetes	0.999999	N/A	N/A	Rowavirales	0.999999	N/A	N/A	Adenoviridae	0.999999	N/A	N/A	Siadenovirus	0.999999	N/A	N/A	Siadenovirus raptoris	0.999999
ICTVTaxoChallenge_100261	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Duplopiviricetes	0.999999	N/A	N/A	Durnavirales	0.999999	N/A	N/A	Hypoviridae	0.999999	N/A	N/A	Alphahypovirus	0.999999	N/A	N/A	Alphahypovirus insecti	0.999999
ICTVTaxoChallenge_100264	Monodnaviria	1.0	N/A	N/A	Shotokuvirae	1.0	N/A	N/A	Cossaviricota	1.0	N/A	N/A	Papovaviricetes	1.0	N/A	N/A	Zurhausenvirales	1.0	N/A	N/A	Papillomaviridae	1.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100272	Duplodnaviria	0.997	N/A	N/A	Heunggongvirae	0.997	N/A	N/A	Uroviricota	0.997	N/A	N/A	Caudoviricetes	0.997	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100278	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cressdnaviricota	0.999999	N/A	N/A	Repensiviricetes	0.999999	N/A	N/A	Geplafuvirales	0.999999	N/A	N/A	Geminiviridae	0.999999	N/A	N/A	Mastrevirus	0.999999	N/A	N/A	Mastrevirus tabaci	0.999999
ICTVTaxoChallenge_100281	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Duplornaviricota	0.999999	N/A	N/A	Resentoviricetes	0.999999	N/A	N/A	Reovirales	0.999999	N/A	N/A	Sedoreoviridae	0.999999	N/A	N/A	Orbivirus	0.999999	N/A	N/A	Orbivirus orungoense	0.999999
ICTVTaxoChallenge_100287	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Duplopiviricetes	0.999999	N/A	N/A	Durnavirales	0.999999	N/A	N/A	Partitiviridae	0.999999	N/A	N/A	Alphapartitivirus	0.999999	N/A	N/A	Alphapartitivirus tredecimheterobasidion	0.999999
ICTVTaxoChallenge_100294	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Edenvirus	0.999999	N/A	N/A	Edenvirus eden	0.999999
ICTVTaxoChallenge_100310	Riboviria	0.4673	N/A	N/A	Orthornavirae	0.4673	N/A	N/A	Negarnaviricota	0.4673	Polyploviricotina	0.4673	Bunyaviricetes	0.4673	N/A	N/A	Elliovirales	0.4673	N/A	N/A	Peribunyaviridae	0.4673	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
